Time (s),Speed (km/h),Acceleration (m/s2),Partial distance (m)/ Speed(m/s),Total distance (m)
0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0
12,0.2,0.05555555555555556,0.05555555555555556,0.05555555555555556
13,1.7,0.41666666666666663,0.4722222222222222,0.5277777777777778
14,5.4,1.027777777777778,1.5,2.0277777777777777
15,9.9,1.25,2.75,4.777777777777778
16,13.1,0.8888888888888886,3.638888888888889,8.416666666666666
17,16.9,1.0555555555555551,4.694444444444444,13.11111111111111
18,21.7,1.3333333333333335,6.027777777777778,19.13888888888889
19,26.0,1.1944444444444446,7.222222222222222,26.36111111111111
20,27.5,0.41666666666666663,7.638888888888888,34.0
21,28.1,0.16666666666666705,7.805555555555555,41.80555555555556
22,28.3,0.05555555555555536,7.861111111111111,49.66666666666667
23,28.8,0.1388888888888889,8.0,57.66666666666667
24,29.1,0.08333333333333352,8.083333333333334,65.75
25,30.8,0.472222222222222,8.555555555555555,74.30555555555556
26,31.9,0.30555555555555497,8.86111111111111,83.16666666666667
27,34.1,0.6111111111111119,9.472222222222223,92.6388888888889
28,36.6,0.6944444444444444,10.166666666666666,102.80555555555557
29,39.1,0.6944444444444444,10.86111111111111,113.66666666666669
30,41.3,0.6111111111111099,11.472222222222221,125.13888888888891
31,42.5,0.3333333333333341,11.805555555555555,136.94444444444446
32,43.3,0.22222222222222143,12.027777777777777,148.97222222222223
33,43.9,0.16666666666666705,12.194444444444443,161.16666666666669
34,44.4,0.1388888888888889,12.333333333333332,173.50000000000003
35,44.5,0.027777777777778172,12.36111111111111,185.86111111111114
36,44.2,-0.08333333333333254,12.277777777777779,198.1388888888889
37,42.7,-0.41666666666666663,11.861111111111112,210.00000000000003
38,39.9,-0.7777777777777789,11.083333333333332,221.08333333333337
39,37.0,-0.8055555555555551,10.277777777777777,231.36111111111114
40,34.6,-0.6666666666666663,9.61111111111111,240.97222222222226
41,32.3,-0.6388888888888901,8.972222222222221,249.94444444444449
42,29.0,-0.9166666666666659,8.055555555555555,258.00000000000006
43,25.1,-1.0833333333333328,6.972222222222222,264.9722222222223
44,22.2,-0.8055555555555561,6.166666666666666,271.13888888888897
45,20.9,-0.3611111111111113,5.805555555555555,276.9444444444445
46,20.4,-0.1388888888888889,5.666666666666666,282.6111111111112
47,19.5,-0.2499999999999996,5.416666666666667,288.0277777777779
48,18.4,-0.30555555555555597,5.111111111111111,293.13888888888897
