Time (s),Speed (m/s),Acceleration (m/s2),Partial distance (m)/ Speed(m/s),Total distance (m)
0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0
12,0.0555555555555555,0.0555555555555555,0.0555555555555555,0.0555555555555555
13,0.4722222222222222,0.4166666666666666,0.4722222222222222,0.5277777777777778
14,1.5000000000000002,1.027777777777778,1.5,2.0277777777777777
15,2.75,1.25,2.75,4.777777777777778
16,3.638888888888889,0.8888888888888886,3.638888888888889,8.416666666666666
17,4.694444444444445,1.0555555555555551,4.694444444444444,13.11111111111111
18,6.027777777777778,1.3333333333333337,6.027777777777778,19.13888888888889
19,7.222222222222222,1.1944444444444446,7.222222222222222,26.36111111111111
20,7.638888888888889,0.4166666666666666,7.638888888888888,34.0
21,7.805555555555556,0.166666666666667,7.805555555555555,41.80555555555556
22,7.861111111111112,0.0555555555555553,7.861111111111111,49.66666666666667
23,8.0,0.1388888888888889,8.0,57.66666666666667
24,8.083333333333334,0.0833333333333335,8.083333333333334,65.75
25,8.555555555555555,0.472222222222222,8.555555555555555,74.30555555555556
26,8.86111111111111,0.3055555555555549,8.86111111111111,83.16666666666667
27,9.472222222222223,0.6111111111111119,9.472222222222223,92.6388888888889
28,10.166666666666668,0.6944444444444444,10.166666666666666,102.80555555555556
29,10.861111111111112,0.6944444444444444,10.86111111111111,113.66666666666669
30,11.47222222222222,0.6111111111111099,11.47222222222222,125.13888888888891
31,11.805555555555555,0.3333333333333341,11.805555555555555,136.94444444444446
32,12.027777777777777,0.2222222222222214,12.027777777777777,148.97222222222223
33,12.194444444444445,0.166666666666667,12.194444444444445,161.16666666666669
34,12.333333333333334,0.1388888888888889,12.333333333333332,173.50000000000003
35,12.361111111111112,0.0277777777777781,12.36111111111111,185.8611111111112
36,12.27777777777778,-0.0833333333333325,12.27777777777778,198.1388888888889
37,11.861111111111112,-0.4166666666666666,11.861111111111112,210.00000000000003
38,11.083333333333334,-0.7777777777777789,11.083333333333332,221.08333333333337
39,10.27777777777778,-0.8055555555555551,10.277777777777777,231.3611111111112
40,9.611111111111112,-0.6666666666666663,9.61111111111111,240.97222222222223
41,8.972222222222221,-0.6388888888888901,8.972222222222221,249.94444444444449
42,8.055555555555555,-0.916666666666666,8.055555555555555,258.00000000000006
43,6.972222222222223,-1.0833333333333328,6.972222222222222,264.9722222222223
44,6.166666666666667,-0.8055555555555561,6.166666666666666,271.13888888888897
